,PWSID,COUNTY_SERVED
51078,NC0368113,Orange
51165,ME0092287,Washington
51166,ME0092287,
51167,ME0005844,Androscoggin
51168,ME0005844,
51630,NC0392830,
51631,NC0392830,Wake
51915,TX1870019,Polk
52176,AK2270299,Wade Hampton Census Area
52177,AK2270299,
52210,AK2211677,Anchorage Municipality
52211,AK2211677,
52217,ME0021653,
52238,ME0092308,Aroostook
52239,ME0092308,
52240,ME0092307,Cumberland
52241,ME0092307,
52260,ME0294539,Aroostook
52261,ME0294539,
52287,ME0008716,Lincoln
52289,ME0008716,
52326,NC0427015,
52624,ME0013342,Kennebec
52628,ME0013342,
52673,ME0009244,Androscoggin
52676,ME0009244,
52702,ME0090150,York
52703,ME0090150,
52858,AK2340141,Nome Census Area
52864,AK2340141,
52865,AK2340387,Nome Census Area
52866,AK2340387,
52872,AK2340751,Nome Census Area
52876,AK2340751,
53294,AK2315049,
53354,AK2220037,Matanuska-Susitna Borough
53355,AK2220037,
53428,ME0092364,York
53429,ME0092364,
53832,ME0094762,York
53833,ME0094762,
53880,ME0400949,Sagadahoc
53881,ME0400949,
53909,ME0002893,Cumberland
53910,ME0002893,
53937,ME0090410,Lincoln
53938,ME0090410,
53939,ME0090410,
54090,NY5730009,
54091,NY5730009,Washington
54098,NV0000742,Washoe
54296,AK2270312,Wade Hampton Census Area
54298,AK2270312,
54299,AK2260676,Lake and Peninsula Borough
54300,AK2260676,
54582,AK2220094,Matanuska-Susitna Borough
54583,AK2220094,
54658,ME0094782,Hancock
54661,ME0094782,
55179,OK3001947,Creek
55180,AZ0402382,
55181,AZ0402382,Cochise
55549,ME0091100,Penobscot
55550,ME0091100,
55551,ME0007378,York
55552,ME0007378,
55727,AK2120606,Ketchikan Gateway Borough
56013,PA2450043,Monroe
56197,AK2223315,Matanuska-Susitna Borough
56198,AK2223315,
56437,ME0092120,Hancock
56440,ME0092120,
56684,PA7360441,Lancaster
56929,AK2120606,
56959,AK2120193,
56960,AK2120193,
56969,AK2130156,Sitka City and Borough
56970,AK2130156,
56973,NC0353132,
56974,NC0353132,Lee
57372,ME0091510,Hancock
57373,ME0091510,
57387,AK2330076,North Slope Borough
57389,AK2330076,
57563,ME0092388,Washington
57565,ME0092388,
57571,NC0201196,
57573,NC0201196,Alamance
57616,ME0004228,Cumberland
57617,ME0004228,
57618,ME0091690,Franklin
57626,ME0091690,
57643,ME0090615,Penobscot
57644,ME0090615,
57669,MD1221185,Wicomico
57918,AK2315049,Fairbanks North Star Borough
57965,NC0180745,
57966,NC0180745,Rowan
57970,PA3060378,Berks
58104,AK2240448,Kenai Peninsula Borough
58105,AK2240448,
58112,AK2240472,Kenai Peninsula Borough
58113,AK2240472,
58149,AK2340183,Nome Census Area
58150,AK2340183,
58157,TX1300017,Kendall
58183,AK2340379,Northwest Arctic Borough
58184,AK2340379,
58187,AK2312813,Fairbanks North Star Borough
58188,AK2312813,
58393,IA2330847,
58394,IA2330847,Clinton
58506,AK2220154,Matanuska-Susitna Borough
58507,AK2220154,
58621,MI2079925,Genesee
58630,MI2084679,Tuscola
58632,MI2260463,Oakland
58633,MI2009268,Oscoda
59517,AK2340125,Northwest Arctic Borough
59604,NC0299543,Yadkin
59866,MI2019267,Osceola
59887,PA7670349,York
59891,MI2146025,Genesee
59897,MI2276363,Oakland
59910,ME0092437,
59929,AK2310683,Fairbanks North Star Borough
59930,AK2310683,
59933,AK2340117,Northwest Arctic Borough
59934,AK2340117,
59939,AK2360214,Yukon-Koyukuk Census Area
59940,AK2360214,
59941,AK2340442,Nome Census Area
59942,AK2340442,
59948,AK2340109,Northwest Arctic Borough
59949,AK2340109,
59954,AK2340214,Nome Census Area
59955,AK2340214,
60279,NY2500705,
60416,ME0194605,Washington
60417,ME0194605,
60434,ME0094693,Hancock
60435,ME0094693,
60437,AK2340125,
60480,PA7381040,Lebanon
60506,SC4360008,
60712,AK2310803,Fairbanks North Star Borough
60713,AK2310803,
61092,MI2064203,Allegan
61186,ME0090480,Aroostook
61187,ME0090480,
61213,NC0299543,
61521,ME0092437,Cumberland
61568,LA2077047,Pointe Coupee Parish
61634,MD0140008,Kent
61681,SC4360008,Sumter
61929,AK2380214,Valdez-Cordova Census Area
61930,AK2380214,
62286,AK2220400,Matanuska-Susitna Borough
62287,AK2220400,
62688,ME0091130,
63003,KS2004305,
63004,KS2004305,Doniphan
63046,OK2004254,Logan
63244,OR4194855,Washington
63254,ME0006647,Androscoggin
63255,ME0006647,
63270,ME0004640,Aroostook
63271,ME0004640,
63410,AK2270728,Bethel Census Area
63411,AK2270728,
63624,AK2120012,Ketchikan Gateway Borough
63626,AK2120012,
63629,AK2130067,
63638,AK2130067,
63648,NC0309555,
63650,NC0309555,Bladen
63661,AK2120232,Ketchikan Gateway Borough
63663,AK2120232,
63671,AK2320426,North Slope Borough
63674,AK2320426,
63796,ME0017998,Oxford
63797,ME0017998,
63915,AK2360272,Yukon-Koyukuk Census Area
63917,AK2360272,
63920,AK2340484,Nome Census Area
63922,AK2340484,
64328,NC0276656,
64329,NC0276656,Randolph
64492,AK2271999,Bethel Census Area
64493,AK2271999,
64544,AK2130083,
64545,AK2130083,
64546,AK2120169,
64547,AK2120169,
64613,NC0427015,Currituck
64651,ME0095570,Waldo
64652,ME0095570,
64659,ME0309196,Washington
64660,ME0309196,
64808,MI2002130,Hillsdale
64907,NY2500705,Livingston
64923,ID3140033,Canyon
64996,ME0094501,Piscataquis
64999,ME0094501,
65006,ME0095663,Hancock
65007,ME0095663,
65012,ME0000185,Cumberland
65013,ME0000185,
65183,ME0091130,Knox
65245,NV0000231,Washoe
65449,AK2270338,Bethel Census Area
65450,AK2270338,
65628,ME0095630,Oxford
65629,ME0095630,
65630,ME0090310,Oxford
65631,ME0090310,
65666,ME0093847,Franklin
65667,ME0093847,
65743,IL0990900,
65744,IL0990900,LaSalle
66145,AK2120436,
66146,AK2120436,
66148,AK2119205,Juneau City and Borough
66152,AK2119205,
66154,ME0092457,York
66155,ME0092457,
66251,AK2271981,Bethel Census Area
66254,AK2271981,
66267,AK2260325,Dillingham Census Area
66268,AK2260325,
66594,AL0001089,Morgan
66937,ME0094718,Knox
66938,ME0094718,
67055,ME0021653,Hancock
67271,NM3515007,
67272,NM3515007,Dona Ana
67568,AK2300214,Northwest Arctic Borough
67569,AK2300214,
68289,055293505,
68354,TX1100034,Hockley
68355,OK3004949,McIntosh
68382,ME0093820,Washington
68383,ME0093820,
68419,MS0300002,Jackson
68427,TX1520231,Lubbock
69075,ME0090890,Hancock
69076,ME0090890,
69077,ME0090915,Aroostook
69078,ME0090915,
69112,ME0090930,Somerset
69113,ME0090930,
69117,ME0090930,
69118,ME0090930,
69344,ME0091416,Cumberland
69348,ME0091416,
69490,NY4530136,
69594,ME0007963,York
69596,ME0007963,
69597,ME0090850,York
69598,ME0090850,
69884,ME0000099,Hancock
69885,ME0000099,
70112,MI2030275,St. Joseph
70418,AK2249099,Kenai Peninsula Borough
70419,AK2249099,
70558,ME0016855,Cumberland
70559,ME0016855,
70575,PA7360330,Lancaster
70705,AK2293205,Valdez-Cordova Census Area
70706,AK2293205,
70715,AK2270207,Bethel Census Area
70720,AK2270207,
70738,AK2250053,Kodiak Island Borough
70739,AK2250053,
70821,ME0090880,Androscoggin
70826,ME0090880,
70913,NC0309107,
70914,NC0309107,Bladen
71039,NC4042002,Halifax
71058,MI2034914,Cass
71398,NC0156518,
71399,NC0156518,McDowell
71416,LA2095003,St. John the Baptist Parish
71476,AK2220473,Matanuska-Susitna Borough
71477,AK2220473,
71488,AK2226049,Matanuska-Susitna Borough
71489,AK2226049,
72010,ME0091210,Penobscot
72011,ME0091210,
72018,ME0091220,Oxford
72019,ME0091220,
72053,ME0090510,Washington
72054,ME0090510,
72055,ME0090510,
72365,ME0090270,Oxford
72366,ME0090270,
72453,AK2220483,Matanuska-Susitna Borough
72454,AK2220483,
72973,NC0118158,
72993,NC0118158,Catawba
73724,NC0416414,Carteret
73725,NC0416414,
73823,TX0710040,El Paso
73850,CO0262710,Weld
74333,NC0106505,
74334,NC0106505,Avery
74364,IA0990208,
74365,IA0990208,Bremer
74735,KY0570531,Jessamine
74736,KY0570531,
74967,ID1280250,Kootenai
74969,PA2080383,Bradford
75114,MS0060045,Bolivar
75118,TX1650002,Midland
75495,NE3121052,Cuming
75496,NE3121052,
76582,NC4098010,
76583,NC4098010,Wilson
77790,NC0136402,Gaston
